name,taxpayer_id,countrycode,year,loginitialgini,growthingini,span,loginitialgdppercapita,growthgdppercapita,privcreavg,logprivatecredit,inflation,logtrade,gr_ltrade,gr_school,logschooling,logcommercialcentralbank,loginitiallowestincomeshare,growthinlowestincomeshare
Carmel D. Flores,507-25-2203,ARG,1961,3.73766994476318,0.00548319984227419,40,8.90825653076172,0.00796930026262999,0.180174097418785,-1.71383202075958,250.966201782227,2.74676990509033,0.0205432996153831,2.13094091415405,1.6956160068512,-0.217118501663208,1.94590997695923,-0.0203626994043589
Edward S. Potter,143-96-6122,AUS,1967,3.465735912323,-0.000999400042928755,35,9.22311592102051,0.0220481008291244,0.404067307710648,-0.906173825263977,6.20543479919434,3.52077698707581,0.0113778002560139,2.32459902763367,2.31629109382629,-0.0704459995031357,1.88706994056702,0.00556549988687038
Sylvester J. Kuykendall,122-55-6636,AUT,1987,3.365394115448,-0.0142799001187086,14,8.74627304077148,0.0309114009141922,0.65269547700882,-0.426644504070282,2.01628088951111,4.32285594940186,0.0242625996470451,1.97637498378754,2.04911088943481,-0.0143408998847008,1.979621052742,0.0230688005685806
Peter T. Ozment,215-40-5492,BEL,1979,3.34109401702881,0.00165880005806684,22,8.86927032470703,0.0281658004969358,0.315142303705215,-1.15473103523254,3.19904398918152,4.92576503753662,0.016516700387001,2.13820600509644,2.10948610305786,-0.0799617022275925,2.06686305999756,0.00592549983412027
Cecil B. Garrett,508-66-3760,BGD,1963,3.61926198005676,-0.00440389988943934,37,6.95895481109619,0.0114609999582171,0.206911504268646,-1.57546401023865,11.0008602142334,3.07175803184509,0.0114786000922322,0.95314747095108,-0.187535107135773,-0.13546060025692,1.93152105808258,0.00718120019882917
Thomas L. Hill,122-57-8231,BOL,1968,3.97029209136963,-0.000118099997052923,32,7.75730180740356,0.00363319995813072,0.324087500572205,-1.12674200534821,449.471984863281,3.90645599365234,-0.00236400007270277,1.66798901557922,1.53061103820801,-0.779563426971436,1.25276303291321,-0.0379231981933117
Joey W. Arredondo,308-44-1255,BRA,1960,3.97029209136963,0.00350870005786419,41,7.68932390213013,0.0276692006736994,0.329036086797714,-1.11158800125122,323.580413818359,2.84616303443909,0.0201325993984938,1.55583894252777,1.08451294898987,-0.480515599250793,1.16315102577209,-0.00661349995061755
Sam N. Bellows,027-16-0327,CAN,1961,3.42751502990723,0.00129859999287874,39,9.23997116088867,0.0228589996695518,0.63074117898941,-0.460859596729279,5.1260871887207,3.99475002288818,0.0238154996186495,2.3902850151062,2.17645502090454,-0.107815898954868,1.9271639585495,0.00152149994391948
Judy C. Petti,453-22-2426,CHE,1982,3.58490705490112,-0.00738490000367165,20,9.45032501220703,0.0166143998503685,1.25248301029205,0.225127592682838,2.25681591033936,4.27701807022095,0.00955899991095066,2.23372006416321,2.31688189506531,-0.0102286003530025,1.99545300006866,0.0232068002223968
Thomas R. Ramos,505-28-5641,CHL,1968,3.82078504562378,0.00828719977289438,32,8.22915554046631,0.023183599114418,0.43095588684082,-0.841749608516693,73.0200805664062,3.87990808486938,0.0233912002295256,1.96751201152802,1.72490704059601,-0.582586109638214,1.50407695770264,-0.0136225996538997
